salario_real,salario_predicho
140250,141798.3769273411
135000,141798.3769273411
100000,77051.88758129219
270000,86365.15146873267
26005,74413.91309608448
153000,136324.06806961098
51321,69812.69366666666
49646,70660.86738690478
76940,84634.36380621773
59102,49122.07929166666
62726,38935.84219227993
110500,141798.3769273411
136994,141798.3769273411
24823,64507.46070238095
148261,177704.69032955254
175000,141798.3769273411
59303,50481.21411832611
112000,107058.29818856144
30428,68547.42146825399
109280,134454.9328831518
109024,117633.95875432903
12000,134122.7669157648
154000,141798.3769273411
160000,66866.1892882118
18000,34763.8275
77364,58443.80375
132320,118847.30122304575
130000,91154.49262561741
69000,111281.14471639156
78526,84634.36380621773
82528,59553.667
112900,111281.14471639156
78791,167211.96976668836
10000,85567.90020833332
56738,88016.91875
150075,111281.14471639156
160000,107757.8457325735
61300,111281.14471639156
18053,64967.37983333334
104702,137563.33072434514
140000,166113.62286750964
140000,166113.62286750964
117104,83092.82942857142
71444,79391.39576984121
90320,111281.14471639156
115000,67686.96632088744
20000,73360.36787386225
140000,107058.29818856144
98158,82732.30678663003
215300,127509.35668981475
81666,111281.14471639156
2859,17040.679535714284
99100,87795.65461365021
100000,111281.14471639156
165400,141798.3769273411
115934,111281.14471639156
120000,134454.9328831518
141846,225281.82
4000,53749.9638882784
82744,166848.26558333333
112300,158681.20592559522
9272,64467.53066666667
5409,61016.03691340603
412000,127509.35668981475
165000,159338.37900000002
206699,87795.65461365021
94564,155995.87414285715
65438,88776.43618452382
130000,111281.14471639156
54238,99386.02072168108
55000,159338.37900000002
122346,82783.73627118714
190000,86973.1285238095
90000,38078.78519047619
127221,76964.17117857143
256000,96089.92435714285
76833,81915.72076190475
102839,167797.40617063493
73000,82783.73627118714
77684,107108.92416239317
150000,170142.1992063492
120000,50044.14900000001
90000,86616.02881304109
32974,86616.02881304109
135000,169115.30125
150000,179058.80452380952
138000,77394.5701190476
183600,170142.1992063492
109000,91154.49262561741
63831,144867.04986571762
40038,66866.1892882118
54957,67478.10934043735
120000,107757.8457325735
110000,107058.29818856144
181940,118847.30122304575
58035,50044.14900000001
100000,106553.73333333334
54957,64421.5395669053
40481,82783.73627118714
126000,141798.3769273411
47282,63297.95420634919
88654,159338.37900000002
120000,153583.38478132975
200000,255041.90326441097
136600,111281.14471639156
80000,52349.94354166666
120600,111281.14471639156
266400,168475.64618363586
155000,111281.14471639156
90734,91154.49262561741
39263,86616.02881304109
12103,87795.65461365021
153000,166930.41705555553
176000,166113.62286750964
63831,57288.46875
32974,86616.02881304109
28016,84634.36380621773
170000,167211.96976668836
138600,166113.62286750964
120000,63297.95420634919
99050,111281.14471639156
110000,37359.4525
